题号,题型,题干,选项A,选项B,选项C,选项D,选项E,正确答案,正确答案文本,解析
18,单选题,拉拔机主拉拔缸快回的原因是,回程时压力大,回程时无负载,回程时有杆腔的液压油回油箱,回程时有杆腔的液压油回到无杆腔,,D,回程时有杆腔的液压油回到无杆腔,拉拔机主拉拔缸快回的原因是回程时有杆腔的液压油回到无杆腔，构成差动回路。
19,单选题,下列选项中，不是拉拔机主拉拔缸前端漏油的原因是,密封损坏,油品有杂物,活塞杆损伤,油缸窜油,,D,油缸窜油,油缸窜油一般会造成活塞杆不动作，不会漏油。
20,单选题,关于拉拔移料小车减速机NMRV050-25-80B5说法错误的是,该减速机是蜗杆减速机,050表示减速机尺寸（中心距）,25表示输出法兰,80B5表示输入法兰,,C,25表示输出法兰,25表示减速比
21,单选题,线性滑块HGW25的说法错误的是,定位精度高,组装容易并具有互换性,只能承受上下方向载荷,润滑构造简单,,C,只能承受上下方向载荷,可同时承受上下左右方向的载荷
22,单选题,直线轴承LM30UU中30表示,轴承外径,轴承钢球分度圆,轴承厚度,轴承内接圆径,,D,轴承内接圆径,轴承内接圆经
23,单选题,铜排轧机常见故障为液压缸卡死，处理时首先做什么？,拆卸液压缸,系统泄压,拆卸液压管路,拆卸液压阀,,B,系统泄压,泄压，确认拆装安全
24,单选题,对于液压马达认知错误的是,液压系统的一种执行元件,输出转矩和转速,体积小、重量轻,内部结构不对称,,D,内部结构不对称,液压马达能够正反转，其内部结构对称
25,单选题,气路中，当调速节流阀截流面积缩小时，执行元件速度将：,增大,不变,降低,都可以,,C,降低,当截流面积缩小时，压缩空气的流量减小
26,单选题,液压控制元件中，不属于方向控制的阀是：,分流阀,换向阀,液控止回阀,止回阀,,A,分流阀,分流阀在液压系统中，只起油的分流作用
27,单选题,以下哪一项不属于弹性柱销联轴器组成部分,柱销,弹性垫,轴,半联轴器,,C,轴,弹性柱销联轴器主要由柱销、弹性垫和半联轴器构成
28,单选题,以下哪一项不属于润滑系统的组成部分,油箱,油泵,油管路,主电机,,D,主电机,润滑系统由油箱、油泵、冷热交换器、油管路、压力表
29,单选题,当负载增大时，通过加大节流阀的流量，将发生：,都可能,减小,不变,增大,,D,增大,加大节流阀的流量，可以使油的流量加大
30,单选题,气动元件中不属于三联体元件的是：,过滤器,调压阀,气动止回阀,油雾器,,C,气动止回阀,气动止回阀只是借助压缩空气驱动的阀门
31,单选题,以下哪一项不属于链条的组成部分,齿轮,连链板,链销轴,轴套,,A,齿轮,链条主要由链板、链销、轴套等构成
32,单选题,以下哪一项不属于盘拉大链条的组成部分,转料小车,链板、支撑轮,销轴、开口销,轴套,,A,转料小车,转料小车只是用来运转铜管的作用
33,单选题,定位小车中不属于小车的组成部分是,定、万向轮,小车体,定位块,传感器,,D,传感器,传感器只是起到定位辅助作用，不属于小车组成部分
34,单选题,下列不属于液压传动系统的压力控制阀是：,溢流阀,节流阀,顺序阀,减压阀,,B,节流阀,节流阀主要是用来控制油的流量大小
35,单选题,在液压传动系统中，什么是液压系统的动能部分,油箱,液压缸,换向阀,叶片泵、柱塞泵,,D,叶片泵、柱塞泵,油泵的功能是为液压系统提供动力
36,单选题,下列不属于内模油供油不足的处理办法是：,加热处理,清理进油管路，或者更换进油管,更换油路接头处密封,更换电机,,D,更换电机,电机是动力源，供油不足和电机没有关系。
37,单选题,关于液压传动，下列说法错误的是：,液压传动是以液体作为工作介质,利用液体压力来传递动力,维修保养不困难，工作量不大,液压缸是液压传动系统的执行元件,,C,维修保养不困难，工作量不大,液压传动与保养，工作量无关
38,单选题,下列不属于油路过滤器整体结构的是：,壳体,油管,进出油口,压力报警装置,,B,油管,油管不属于过滤器的结构
39,单选题,有关液压站油箱说法错误的是：,储存油液,散发热量,输出动能,逸出油液中的空气，清洁油液,,C,输出动能,液压的动能由油泵产生
40,单选题,不属于AR-2000减压阀的结构是：,压力表,调压旋钮,压缩弹簧,气管,,D,气管,气管不属于减压阀的结构
41,单选题,转料小车万向轮的轴承型号正确的是：,6006,6206,30306,30305,,C,30306,转料小车轴承型号是30306
42,单选题,液压站油箱需加多少号油，下列正确的是,46#,32#,220#,40#,,A,46#,现场所使用的油品是46号液压油
43,单选题,辊道输送机构由几部分组成,三部分,四部分,五部分,六部分,,D,六部分,盘拉输送机构由：外轨、内轨、大链条、涨紧框、链条驱动、转料小车等六部分组成。
44,单选题,有关储气罐的功能说法错误的是：,产生气体,能量的储存,稳定气压,对冲击力的缓解,,A,产生气体,储气罐只是用来储存气体的，不能产生气体
45,单选题,下列不属于液压缸组成部分的是：,缸筒、缸盖,活塞、活塞杆,密封、排气、缓冲装置,油缸鱼眼接头,,D,油缸鱼眼接头,鱼眼接头属于关节轴承的一种，是连接两个中心线相交的杆件
46,单选题,收放线减速机装置常见故障不正确的处理方法是：,尼龙销磨损，及时更换,传动异响时继续生产,缺油时补加润滑油,托盘下面缠绕铜管，及时清理,,B,传动异响时继续生产,严禁设备带故障作业
47,单选题,制头机常见故障不正确的处理方法是：,油管磨损，及时更换,制头时内部产生异响，及时检查维修,维修时，液压站未关闭,油缸漏油，及时更换密封元件,,C,维修时，液压站未关闭,液压站未关，会照成安全事故的发生
48,单选题,液压缸不升降不正确的处理方法是,检查阀体,检查油缸,直接更换油缸,电气检查,,C,直接更换油缸,先机械、电气排查后确认液压缸损坏在进行更换。
49,单选题,有关换向阀常见故障说法错误的是：,线圈烧坏，更换,阀头没信号,阀O型圈老化，漏油,维修后，电磁阀流向装反,,D,维修后，电磁阀流向装反,流向装反，会引起阀芯无动作
50,单选题,不属于电磁阀溢流阀的组成部分是：,阀头线,先导阀,阀体,主阀,,A,阀头线,阀头线不属于阀的组成部分
51,单选题,压紧辊角度调整时面板压力正确的是,100%,70%,20%,5%,,D,5%,"压紧辊角度调整时压力越小越好但是不能低于5%,不然压不动"
52,单选题,有关插装阀特点说法错误的是：,通流能力大,密封性能好,应用范围小,动作灵敏，结构简单,,C,应用范围小,插装阀在液压系统中应用范围广
53,单选题,叠加式减压阀的作用说法正确的是：,保持出口压力不变,保持出口压力减小,不工作时，进出油口不通,保持常通,,C,不工作时，进出油口不通,不工作时，减压阀的进、出油口是互通的。
54,单选题,备料台常见故障不属于机械的是：,油管漏油,链条断,备料台不会升降,传感器脱落，无信号,,D,传感器脱落，无信号,传感器属于电器控制元件
55,单选题,压紧辊角度调整有几种状态：,一种,两种,三种,四种,,C,三种,调整状态包括：前倾、后倾、平行
56,单选题,不属于盘拉机卷筒装置机构的是：,钳臂装置,摆臂装置,剪切装置,张力释放机构,,B,摆臂装置,摆臂装置机构属于放线系统
57,单选题,下列选项中不属于收料摆臂托辊组成部分的是？,尼龙辊,轴承,辊轴,传感器,,D,传感器,传感器只限于安装放料摆臂托辊，收料托辊并不需要此元件
58,单选题,有关轴承6012描述错误的是？,只能承受径向载荷,由外圈、内圈、滚动体和保持架组成,轴承类型为深沟球轴承,轴承内径为60mm,,A,只能承受径向载荷,深沟球轴承主要承受径向载荷，也可同时承受径向载荷和轴向载荷
59,单选题,压轮机构组成描述错误的是哪一项？,压环,流量阀,气缸,摆动支架,,B,流量阀,除流量阀外其余三项均属于压轮机构组成部件，流量阀属于辅助控制元件类别。
60,单选题,有关回油过滤器堵塞、爆裂的故障处理错误的是,润滑油杂质污染物过多，堵塞滤芯。过滤或更换润滑油,密封圈破损。更换密封圈,回油压力过大，挤爆滤芯。调节工作压力,滤芯滤网未及时清洗，堵塞。周期性清洗滤网,,B,密封圈破损。更换密封圈,密封圈破损会造成过滤效果差，堵塞管路、阀组等
61,单选题,下列选项中不属于气动三联件的是哪一项？,换向阀,减压阀,油雾器,分水过滤器,,A,换向阀,换向阀本身并不属于标准三联件的功能组成部分，其本身属于单独的控制元件
62,单选题,成型机润滑油油温最高不能超过多少度？,40度,50度,60度,70度,,B,50度,润滑油温度超过50度的话，会对产品造成一定的影响以及降低设备小零部件的使用寿命。
63,单选题,水冷却器故障描述及解决方案说法不正确的是哪一项？,故障：油水混和 解决方案：打开冷却器检查更换密封或整体更换,故障：冷却效果不好解决方案：拆卸冷却器，清理冷却管内杂物及清洗水垢,故障：分水盖腐蚀漏水 解决方案：检查检验水质，要求水质需偏碱性,故障：进出水口漏水 解决方案：拆卸接头重新缠绕密封带或增加密封胶,,C,故障：分水盖腐蚀漏水 解决方案：检查检验水质，要求水质需偏碱性,检验水质结果应偏酸性，碱性浓度高更容易产生水垢堵塞冷却管。
64,单选题,关于放料摆臂功能下列描述正确的是？,挺高产品质量,为了防止产品无规则跳动，影响质量。,通过精密距离传感器来调整放线速度快慢,检测产品是否通过摆臂,,C,通过精密距离传感器来调整放线速度快慢,此机构主要通过产品的晃动带动摆臂左右摆动，之后摆臂上偏心轴转动，造成距离传感器与偏心轴间距大小发生变化，进而通过PLC程序调整放线速度快慢。
65,单选题,下列选项中不是制头机组成部件的是？,电机、支架、皮带轮,皮带、轴承、打头快,转轴、齿轮、轴承,电机、转轴、打头快,,C,转轴、齿轮、轴承,"制头机的工作原理是由电机转动经皮带轮传动，带动旋压制头块高速旋转,对管坯进行挤压。不涉及齿轮传动。"
66,单选题,下列选项中，关于伸缩气缸装置的工作原理及功能描述错误的是？,设备开启时，气缸充气打开，管材穿过气缸后，气缸断气,外模与游动芯头对管坯进行减径,转动气缸螺母，可调整螺纹芯头旋压位置，从而调节产品米克重,断管时，气缸弹出，保护芯头,,A,设备开启时，气缸充气打开，管材穿过气缸后，气缸断气,设备开启时，气缸充气打开，当拉拔经过第一个压轮，气缸断气，使螺纹芯头到达旋压位置。
67,单选题,下列材料中适合制造弹簧的是,GCr15,40Cr,60Si2Mn,1Gr18Ni9,,C,60Si2Mn,"GCr15-高碳铬轴承钢
40Cr-标准钢号
1Cr18Ni9-不锈钢
60Si2Mn-硅锰弹簧钢，常用作汽车钢板弹簧"
68,单选题,下列有关阀门气动执行器说法错误的是？,在成型机设备中，控制冷却水的通断,气体推动双活塞向两端(缸盖端)直线运动，活塞上的齿条带动旋转轴上的齿轮逆时针方向转动90度，阀门即被打开,气动执行器在气源中断时，能用其手动机构进行气动球阀的启闭操作,双作用的气动执行器可选用二位三通电磁阀,,D,双作用的气动执行器可选用二位三通电磁阀,双作用的气动执行器，复位时活塞另一端需充气可选用二位五通电磁阀；单作用(弹簧复位型)气动执行器断气时靠弹簧复位，可选用二位三通电磁阀。
69,单选题,下列有关普通高速电机与磁悬浮电机描述错误的是？,都由壳体、线圈、主轴、（磁）轴承等组成,都装有速度传感器,冷却水都是冷却线圈的,气密封都是防止工艺润滑油等进入电机,,B,都装有速度传感器,磁悬浮高速电机主轴上装有速度传感器，普通高速电机则没有。
70,单选题,下列选项中，有关磁悬浮电机的拆装，描述错误的是？,磁悬浮电机整体拆下后，先拆卸后端部件，取出主轴，再拆卸前端部件，最后拆除线圈,拆卸轴向磁轴承时，需将磁轴承上的螺丝全部拆出，再轻轻敲击四周，取出磁轴承,拆卸径向磁轴承时，可用烘干风机烘烤磁轴承座，旋转拔出,安装时，各个零部件定位点对准设备正上方位置,,B,拆卸轴向磁轴承时，需将磁轴承上的螺丝全部拆出，再轻轻敲击四周，取出磁轴承,轴向磁轴承上的螺丝一半为磁轴承固定螺丝，一半为磁轴承上盖锁紧螺丝。拆卸轴向磁轴承时，根据定位点，间隔一颗拆卸固定螺丝。
71,单选题,高速电机使用什么进行冷却？,水冷却,自然冷却,风冷却,油冷却,,A,水冷却,
72,单选题,成型机高速电机采用什么润滑形式润滑？,油气,纯净水,润滑油,油水混合物,,A,油气,
73,单选题,汽轮机油型号是？,KW32,25#变压器油,KN140,N32#汽轮机油,,D,N32#汽轮机油,
74,单选题,乙炔瓶在使用时只能直立不能卧放。,正确,错误,,,,A,正确,
75,单选题,焊接工作完毕后，应检查和清理现场，灭绝火种，切断电源后方可离开。,正确,错误,,,,A,正确,
76,单选题,氢气本身不可燃，可以助燃。,正确,错误,,,,B,错误,
77,单选题,检修设备前要识别设备的各个部件位置，检修时避开突出物，避免伤害。对吗？,正确,错误,,,,A,正确,
78,单选题,任何人发现有违反安全规程的情况，应立即制止，经纠正后才能恢复工作。,正确,错误,,,,A,正确,
79,单选题,空油桶可以搭建临时平台吗？,可以,不可以,,,,B,不可以,
80,单选题,起吊前，指挥人员确认周围人员和自己离开吊物几米以上位置？,2,5,3,4,,C,3,
81,单选题,下列工作环境是不适合进行电焊作业的。,空气流通,干燥寒冷,炎热而潮湿,,,C,炎热而潮湿,
82,单选题,进入容器、狭小舱室内作业时，焊割炬应：,在工作结束后拉出,随人进出,任意处置,,,B,随人进出,
83,单选题,氧气瓶阀门及附件严禁沾有,油脂,水,灰尘,,,A,油脂,
84,单选题,下列哪一项不属于液压控制阀三大类之一？,方向控制阀,压力控制阀,流量控制阀,调速阀,,D,调速阀,调速阀是流量控制阀的一种
85,单选题,下列选项中不属于气动三联体组成件是？,分水滤气器,换向阀,减压阀,油雾润滑器,,B,换向阀,分水滤气器、减压阀、油雾润滑器组成气动三联件
86,单选题,不属于气缸内部零部件的为哪一项？,活塞杆,导向环,基座,密封垫,,C,基座,基座为气缸工作时外部重要的支力点，起到固定气缸的作用。
87,单选题,在维修测速计长装置过程中，下列说法不正确的是？,更换轴承时在拆卸安装过程中可以随意敲击，直至完成装配,安装计长轮轴承时要保证轴、轴承以及轮内部轴承安装槽的间隙，不可过大或过小，保证计长轮能顺利滚动,在安装编码器时，要确保调整好同心度，从而保证能准确计数及长时间工作。,计长轮外包胶出现裂纹或掉块破损时要及时更换,,A,更换轴承时在拆卸安装过程中可以随意敲击，直至完成装配,任何轴承在更换时都不能进行随意的敲击，要根据不同的情况，选用合适的安装方法。
88,单选题,对于收料小车压臂装置的构造与功能，下列哪项内容描述错误？,主要通过液压缸动作来完成机构功能,压臂主要起到防止产品左右晃动，稳定中心作用,要及时清理压臂表面污渍以及严禁碰撞压臂,压臂与产品接触点可以选用任意材质，产品质量不受影响。,,D,压臂与产品接触点可以选用任意材质，产品质量不受影响。,所有与产品接触的地方必须经过严格的抛光或选用合适的材质，避免对产品造成严重外伤。
89,单选题,下列哪一项不属于气动刹车装置组成部分分？,气囊,刹车片,电磁阀,蝶式制动器,,C,电磁阀,电磁阀属于刹车装置的控制元件，并不是组成部分
90,单选题,气动电磁阀内部结构功能描述错误的是哪一项？,阀芯是由线圈产生磁场吸合磁铁推动工作的,所有电磁阀都是双电控的,阀芯的功能主要启到换向作用的,在失电情况下可以通过手动方式进行换向,,B,所有电磁阀都是双电控的,电磁阀由单电控和双电控，根据不同的需求来选择的
91,单选题,下列选项中哪一项不属于压臂装置组成部分的？,齿轮齿条液压缸,光电传感器,电磁阀,限位摆杆,,C,电磁阀,电磁阀属于压臂的控制元件，并非组成部件。
92,单选题,卷曲被动副盘中各零部件的功能描述不正确的是？,弹簧卡爪的功能是当主盘卷筒膨胀时启到固定锁紧作用。,芯杆的主要作用时通过液压缸的作用，将弹簧卡爪撑开，辅助固定作用。,碟簧的作用主要是将芯杆采用机械式方式回归原位,辅助盘是通过齿轮箱带动旋转的,,D,辅助盘是通过齿轮箱带动旋转的,辅助小盘是被动旋转的，由主盘卷筒带动的。
93,单选题,下列哪一项不属于复绕液压站的组成部分的？,电机,液压缸,阀座与阀体,油泵,,B,液压缸,因液压缸属于设备功能执行元件，并不存在于液压站上面。
94,单选题,复绕机主动卷曲盘的主要零部件功能描述错误的是哪一项？,卷筒主要起到卷取产品以及定型作用,定位块主要作用是防止卷筒自动旋转以及沿着固定方向动作的作用,主卷曲盘的作用是根据不同的要求，调整控制卷宽。,主轴主要作用是支撑卷筒重量的。,,D,主轴主要作用是支撑卷筒重量的。,主轴的主要功能是带动卷筒膨胀、收缩、旋转以及与副盘锁紧。
95,单选题,不直接参与复绕机卷筒锁紧的零件是哪一项？,锁紧螺母,拉杆,锁紧缸活塞,套爪夹头,,C,锁紧缸活塞,锁紧缸活塞不直接参与卷筒锁紧
96,单选题,复绕机卷筒和大盘之间通过哪个零件定位防止相对运动？,旋转卡位销,锁紧螺母,传动轴,小盘,,A,旋转卡位销,
97,单选题,复绕机卷筒和小盘之间通过哪个零件定位防止相对运动？,旋转卡位销,锁紧螺母,传动轴,大盘,,C,传动轴,
98,单选题,复绕机三工位装置不包含那一部分？,驱动装置,放料盘,回转盘,移栽小车,,B,放料盘,
99,单选题,复绕码垛机吊具涨缩气缸气路安装的安全阀是哪一项？,诱导止回阀,调速阀,换向阀,压力阀,,A,诱导止回阀,
100,单选题,复绕机卷筒锁紧无法打开最常见的故障是哪一项？,锁紧螺母松,碟形弹簧断裂,传动销变形,液压系统故障,,B,碟形弹簧断裂,卷筒卡死最常见的是碟簧断裂造成，其它三项不会造成卷筒卡死或故障很少出现
101,单选题,容克炉停炉最低几天以上需要关闭燃气主管路阀门？,3,5,7,30,,A,3,按规定要求最低3天以上的停炉就必须关闭阀门
102,单选题,哪一项不需要检查容克炉真空泵过滤网？,真空泵真空时间长,过滤网网格表面布满油污,过滤网和管道连接法兰漏气,排出蓝烟,,D,排出蓝烟,过滤网主要功能是保护真空泵在抽气过程中有杂质抽到真空泵内部，保护零件
103,单选题,以下哪一项是容克炉真空室锁紧气缸伸缩套材质？,氟胶,橡胶,聚氨酯,丁晴橡胶,,A,氟胶,锁紧气缸伸缩套主要连接处受高温烘烤需要耐高温材质氟胶-20℃/250℃
104,单选题,以下哪种措施不会提高容克炉真空室锁紧气缸伸缩套使用寿命？,把材质更换为丁腈橡胶,改造，密封套内补氮气,密封套内加保温棉,,,A,把材质更换为丁腈橡胶,炉门处温度较高，丁腈橡胶耐温性达不到实际使用需要
105,单选题,哪一项不是容克炉真空室锁紧结构组成？,气缸,节流阀,磁芯开关,减压阀,,D,减压阀,组成：气缸/节流阀/磁芯开关/胶管/氟胶伸缩套
106,单选题,哪一项不是容克炉真空室锁紧气路点有故障？,锁紧气缸有一只不同步,操作台显示气阀无动作,真空抽不完，压力变送器无报警,氮气补充阀门无法打开,,C,真空抽不完，压力变送器无报警,4只锁紧气缸统一有一只电磁换向阀控制，如果退程到磁芯开关点不亮，就位报警
107,单选题,以下哪一项是容克炉真空室补氮气阀门判断有故障？,补气电磁阀线苞固定螺杆松动,电磁阀手动顶住打开阀门,抽真空时间超过设定标准,真空泵过滤网定期清理,,C,抽真空时间超过设定标准,
108,单选题,哪一项判定容克炉热交换器失效？,进水和回水温度一致,进水压力大于0.35PMa,铜管表面检测温度低于35℃,,,A,进水和回水温度一致,轴流风机迫使热空气流过铝片由铝片间隙，通过铝片及铜管外壁和管内冷却水的热交换，达到空气降温
109,单选题,不属于容克炉冷却风机需要停炉检修更换是哪一项？,风机有轻微的震动/有氮气向外漏气,电机烧掉,电机轴端轴承损坏/电机壳温度高,电机散热风扇叶片破损,,D,电机散热风扇叶片破损,电机散热风扇可停风机直接更换，无需停炉
110,单选题,以下哪一项不会造成容克炉堆垛托架故障原因的是？,连接杆伸缩缓慢，导致料架倾斜,伸缩杆表面油污多,提升过超过感应开关，链条断裂,升降电机刹车盘间隙过大，导致自动时感应开关信号错乱,,B,伸缩杆表面油污多,料架通过辊道达到预定位置，气缸推动摆臂，连接杆伸出，升降电机运行滑动支架向上到中间限位停顿，第二个料架达到预定位置，滑动支架下降，把上托料架安放到第二个料架上面，气缸于连接杆退回，滑动支架下降到位，重新托起料架到上限位停顿，第三个料架达到预定位置，滑动支架下降到位，气缸退回，滑动支架回落到下限位。
111,单选题,以下哪一项不是容克炉氮气分配站组成部分？,玻璃流量计,电磁补气阀,中压氮气减压阀,氮气流量变送器,,C,中压氮气减压阀,中压氮气不过氮气分配站
112,单选题,容克炉加热系统烧嘴积碳是哪种气体不足造成的？,天然气,助燃空气,氮气,,,B,助燃空气,当烧嘴空气量不足时，会发生积碳
113,多选题,螺栓机械防松有哪些方法？,开口销,止动垫圈,弹簧垫片,串联钢丝,,"A,B,D",开口销；止动垫圈；串联钢丝,弹簧垫片装配后被压平，其反弹力能使螺纹间保持压紧力和摩擦力，从而实现防松，属于摩擦防松。
114,多选题,关于气缸SDA80x30，说法错误的是,活塞杆外径30mm,气缸外径80mm,气缸内径80mm,气缸行程30mm,,"A,B",活塞杆外径30mm；气缸外径80mm,SDA-气缸类型，80-气缸内径，30-气缸行程。
115,多选题,上引牵引电机与同步带之间的连接零件有哪些？,行星减速机,联轴器,牵引主轴,同步带轮,,"A,B,C,D",行星减速机；联轴器；牵引主轴；同步带轮,牵引伺服电机与行星减速机直接连接，通过联轴器连接牵引主轴，同步带轮安装在牵引主轴上。
116,多选题,下列各项中，属于上引牵引轮机构组成部分有哪些？,导柱,铜套,导向板,安装板,,"A,B,C,D",导柱；铜套；导向板；安装板,牵引轮机构中，气缸与牵引轮之间连接的零件有：导柱、铜套、导向板、安装板、轴、轴承等。
117,多选题,550挤压机的矫直装置由哪几部分组成？,计米装置,两个夹送装置,水平与竖直矫直,井字辊,,"B,C,D",两个夹送装置；水平与竖直矫直；井字辊,计米装置不属于挤压机的矫直部分。
118,多选题,挤压机夹送机构的常见故障及处理办法正确的是,上夹轮不移动-检查气缸与阀,夹送轮滚花磨损-点焊或更换夹送轮,下夹送轮回转灵活-更换单向轴承,上夹送轮回转灵活-更换单向轴承,,"A,B,C",上夹轮不移动-检查气缸与阀；夹送轮滚花磨损-点焊或更换夹送轮；下夹送轮回转灵活-更换单向轴承,上夹送轮回转灵活，设备正常。只有下夹送轮采用单向轴承。
119,多选题,挤压机压实轮装置的组成有,轴,轮毂,侧盖,轴承,,"A,B,C,D",轴；轮毂；侧盖；轴承,压实轮装置的组成有压实轮轴、压实轮、侧盖、轴承、密封圈、锁母等。
120,多选题,亚爵挤压设备，压实轮轴承型号是,300挤压机-NJ212E,400挤压机-NJ2216E,550挤压机-NJ220E,,,"A,B,C",300挤压机-NJ212E；400挤压机-NJ2216E；550挤压机-NJ220E,亚爵挤压设备，压实轮轴承型号是300挤压机-NJ212E，400挤压机-NJ2216E，550挤压机-NJ220E。
121,多选题,挤压靴座油缸的控制阀组是,电磁换向阀,平衡阀,减压阀,溢流阀,,"A,B,C",电磁换向阀；平衡阀；减压阀,由三位四通电磁换向阀、平衡阀、减压阀共同组成的压力回路。通过调节减压阀的压力可实现靴座油缸的升降力。调节平衡阀可实现靴座在运动中任意位置停止时，油缸处于静止状态。
122,多选题,挤压压紧油缸的控制阀组是,蓄能器,减压阀,液控单向阀,电磁换向阀,,"A,C,D",蓄能器；液控单向阀；电磁换向阀,"由三位四通电磁换向阀和插入式液控单向阀及蓄能器共同组成,蓄能器做保压使用。"
123,多选题,挤压摆臂油缸的控制阀组是,电磁换向阀,平衡阀,节流阀,减压阀,,"A,B,D",电磁换向阀；平衡阀；减压阀,由三位四通电磁换向阀、平衡阀、减压阀共同组成的压力回路。通过调节减压阀的压力可实现提升油缸的升降力。调节平衡阀可实现压紧缸摆臂在运动中任意位置停止时，油缸处于静止状态。
124,多选题,挤压龙门收线机由哪几部分组成？,套筒式伸缩横梁,提升装置,收排线装置,电控系统,,"A,B,C,D",套筒式伸缩横梁；提升装置；收排线装置；电控系统,整机由二个带辊轮的地梁，二个立柱提升装置及套筒式伸缩横梁，收排线导线支架以及电气控制系统组成。
125,多选题,拉拔制头机设备常见故障有,偏心轧辊机架螺丝断,刀滑座上下移动距离变小,万向联轴器螺丝脱落,离合器磨损,,"A,B,C",偏心轧辊机架螺丝断；刀滑座上下移动距离变小；万向联轴器螺丝脱落,拉拔制头机设备无离合器。
126,多选题,拉拔机液压剪的组成有,齿轮齿条,剪刀,液压缸,液压马达,,"A,B,C,D",齿轮齿条；剪刀；液压缸；液压马达,拉拔机液压剪的组成有液压马达、齿轮齿条、剪刀、液压缸、导轨直线轴承等。
127,多选题,拉拔移料小车常见故障有,减速机松动,两侧支撑辊轮损坏,液压缸漏油,齿轮齿条磨损,,"A,B,D",减速机松动；两侧支撑辊轮损坏；齿轮齿条磨损,拉拔移料小车电机驱动，钳口压缩空气驱动。
